preferredLabel,altLabels,skillType,reuseLevel,description,broaderConceptPT
solve technical problems,solve technical problems,skill/competence,cross-sector,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",identify problems | resolving computer problems | problem-solving with digital tools
engage in citizenship through digital technologies,apply e-services | use e-services | able to use e-services | utilise e-services | make use of e-services | engage in citizenship through digital technologies | use online payment solutions | using e-services,skill/competence,cross-sector,Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.,using digital tools for collaboration and productivity | digital communication and collaboration
creatively use digital technologies,creatively use digital technologies,skill/competence,cross-sector,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,using digital tools for collaboration and productivity | problem-solving with digital tools
"evaluate data, information and digital content","evaluate data, information and digital content",skill/competence,cross-sector,"Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",digital data processing | analysing and evaluating information and data
computer programming,DIBOL | Seed7 | Visual Basic .NET | HyperTalk | Korn-shell | Emacs Lisp | KnockoutJS | computer programming | Squirrel-script | TACL | cT | Object Pascal | Visual Basic | Caml | AspectJ | PostScript | OCaml | Ceylon | Dylan | bash | OpenCV | Gosu | ColdFusion | MSVC++ | C shell | IDL | ALGOL | Subversion | Ada | occam | Io | REXX | Z shell | BizTalk | AppleScript | BCPL | X10 | GCC | ActionScript | INTERCAL | LabVIEW | Hack | Fantom | Tcl | STL | Fortran | PL/I | COMAL | Rebol | Euphoria | Lua | PowerShell | AngularJS | Curl | AWK | Turing,knowledge,cross-sector,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages.",digital content creation | software and applications development and analysis
identify digital competence gaps,identify digital competence gaps,skill/competence,cross-sector,Understand where one’s own digital competence needs to be improved or updated. Be able to support others with their digital competence development. Seek opportunities for self-development and keep up-to-date with the digital evolution.,"problem-solving with digital tools | monitoring, inspecting and testing"
collaborate through digital technologies,able to use online tools to collaborate | utilise online tools to collaborate | use online tools to collaborate | make use of online tools to collaborate | use VoIP conference calling | use online meeting tools | use concurrent file editing | apply online tools to collaborate | collaborate through digital technologies | using online tools to collaborate,skill/competence,cross-sector,"Use digital tools and technologies for collaborative processes, and for co-construction and co-creation of resources and knowledge.",using digital tools for collaboration and productivity | digital communication and collaboration
protect personal data and privacy,protect online privacy and identity | safeguarding online privacy and identity | safeguard online privacy and identities | protect digital identity | protect digital privacy | keep online privacy and identity secure | safeguard online privacy and identity | review online privacy settings | take action to ensure online privacy | defend online privacy and identity | protect personal data and privacy | safeguard online identity and privacy,skill/competence,cross-sector,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,ICT safety | protecting privacy and personal data
share through digital technologies,share through digital technologies,skill/competence,cross-sector,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices.",using digital tools for collaboration and productivity | digital communication and collaboration
ICT safety,ICT protection | information and communication technology safety | information and communication technologies safety | ICT welfare maintenance | ICT safety | ICT security | ICT well-being  maintenance,,,"Personal protection, data protection, digital identity protection, security measures, safe and sustainable use.",protecting ict devices
identify technological needs,identify needs and technological responses,skill/competence,cross-sector,Assess needs and identify digital tools and possible technological responses to address them. Adjust and customise digital environments to personal needs (e.g. accessibility).,developing solutions | problem-solving with digital tools
"manage data, information and digital content","manage data, information and digital content",skill/competence,cross-sector,"Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment.",managing information | digital data processing
digital communication and collaboration,digital communications | paperless communication | digital communication and collaboration | electronic communication,,,"Communicate in digital environments, share resources through online tools, link with others and collaborate through digital tools, interact with and participate in communities and networks, cross-cultural awareness.",using digital tools for collaboration and productivity
integrate and re-elaborate digital content,integrate and re-elaborate digital content,skill/competence,cross-sector,"Modify, refine, improve and integrate information and content into an existing body of knowledge to create new, original and relevant content and knowledge.",using digital tools for collaboration and productivity | digital content creation
develop digital content,develop digital content,skill/competence,cross-sector,"Create and edit digital content in different formats, express oneself through digital means.",using digital tools for collaboration and productivity | digital content creation
digital data processing,paperless data processing | electronic data processing | processing of data digitally | data processing | digital data processing,,,"Identify, locate, retrieve, store, organise and analyse digital information, judging its relevance and purpose.",accessing and analysing digital data
problem-solving with digital tools,problem-solving with digital tools | resolving issues with ICT tools and hardware | finding solutions with ICT tools and hardware | ICT tools and hardware problem solving | problem-solving with information and communication technologies tools and hardware | problem-solve with ICT tools and hardware | problem-solving with ICT hardware and tools,,,"Identify digital needs and resources, make informed decisions on most appropriate digital tools according to the purpose or need, solve conceptual problems through digital means, creatively use technologies, solve technical problems, update own and other's competence.",using digital tools for collaboration and productivity
use online conventions of netiquette,observe netiquette | use online conventions of netiquette | able to use online conventions of netiquette | apply online conventions of netiquette | make use of online conventions of netiquette | utilise online conventions of netiquette | using online conventions of netiquette,skill/competence,cross-sector,Apply behavioural norms and know-how while using digital technologies and interacting in digital environments. Adapt communication strategies to the specific audience and be aware of cultural and generational diversity in digital environments.,digital communication and collaboration
interact through digital technologies,use e-mail software and services | utilise online communication tools | able to use online communication tools | using online communication tools | communicate on-line | make use of online communication tools | interact through digital technologies | apply online communication tools | communicate in digital environments | use online communication tools | interact through ICT,skill/competence,cross-sector,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,digital communication and collaboration | using digital tools for collaboration and productivity
copyright and licenses related to digital content,copyright and licenses related to digital content,knowledge,cross-sector,"Understand how copyright and licences apply to data, information and digital content.",audio-visual techniques and media production | digital content creation
manage digital identity,protecting privacy and identity on the Internet | manage digital identity,skill/competence,cross-sector,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services.",working with digital devices and applications | digital communication and collaboration
protect the environment from the impact of the digital technologies,protect the environment from the impact of the digital technologies,skill/competence,cross-sector,Be aware of the environmental impact of digital technologies and their use.,complying with environmental protection laws and standards | evaluate environmental impact of personal behaviour | ICT safety
protect health and well-being while using digital technologies,protect health and well-being while using digital technologies,skill/competence,cross-sector,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,ICT safety | complying with health and safety procedures
